GMT,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS,prob,Date,TH
0,109.3,13.5,11.7,6.8,9.9,21.9,31.8,285.92,968.49,0.0,0.0,23.0,5684,,05/02/1981,0
12,79.5,6.3,3.3,3.0,7.4,27.7,35.1,283.44,833.88,0.0,0.0,20.9,5707,,05/02/1981,0
0,87.1,5.4,3.8,8.4,15.7,27.7,43.4,284.78,930.04,0.0,0.0,19.5,5647,,06/02/1981,0
12,150.1,-0.9,-5.1,11.8,19.5,26.5,46.0,288.7,874.83,-214.8,1479.4,25.6,5642,,06/02/1981,0
0,82.8,6.6,4.6,16.0,14.3,27.1,41.4,286.7,968.37,0.0,0.0,20.8,5649,,07/02/1981,0
12,179.0,1.2,-2.0,25.8,20.3,28.7,49.0,284.56,823.99,-530.2,10.8,25.5,5695,,07/02/1981,0
0,240.2,1.3,-2.4,30.4,23.7,28.1,51.8,289.93,980.67,-66.7,387.3,29.1,5623,,08/02/1981,0
12,226.6,-0.9,-5.1,28.2,20.7,30.7,51.4,289.55,902.76,-159.0,1789.6,28.3,5656,,08/02/1981,0
0,180.1,4.8,4.3,27.0,22.7,26.5,49.2,282.75,909.19,0.0,0.0,24.9,5620,,09/02/1981,1
12,185.8,1.3,-1.7,30.4,22.1,27.7,49.8,286.77,910.63,-163.7,175.1,31.5,5634,,09/02/1981,1
0,172.2,2.5,0.1,32.4,23.3,26.5,49.8,288.16,985.76,-2.3,28.1,29.9,5610,,10/02/1981,0
12,88.8,-2.9,-4.2,23.7,21.5,28.5,50.0,287.77,985.79,-3.5,777.9,19.0,5497,,10/02/1981,0
0,139.3,11.6,11.7,11.8,13.3,16.5,29.8,285.0,988.39,0.0,0.0,24.4,5586,,11/02/1981,0
12,96.3,3.9,2.4,18.2,15.5,24.1,39.6,285.06,917.71,-65.4,17.1,21.2,5594,,11/02/1981,0
0,80.3,7.2,7.5,11.4,16.9,23.1,40.0,283.77,968.83,0.0,0.0,18.3,5618,,12/02/1981,0
12,40.7,0.8,-2.9,9.2,12.8,20.3,33.1,288.92,919.33,-50.9,1177.8,22.1,5585,,12/02/1981,0
0,74.2,9.6,8.6,1.4,10.7,18.5,29.2,285.95,973.59,0.0,0.0,20.2,5611,,13/02/1981,0
12,199.9,2.2,8.6,15.0,21.5,25.3,46.8,288.44,882.37,-197.8,0.0,25.6,5634,,13/02/1981,0
0,81.5,7.7,3.8,-0.8,8.0,20.7,28.7,289.7,975.66,0.0,0.0,23.2,5677,,14/02/1981,0
12,91.2,3.6,-1.0,8.8,3.2,27.9,31.1,289.22,878.25,-321.7,287.3,25.1,5720,,14/02/1981,0
0,135.9,6.9,1.8,10.0,12.1,27.5,39.6,291.29,978.01,0.0,0.0,27.6,5722,,15/02/1981,0
12,77.6,4.2,-0.2,6.4,6.8,25.5,32.3,288.4,859.57,-323.6,16.2,23.5,5735,,15/02/1981,0
0,135.3,2.5,-3.4,13.8,15.5,26.3,41.8,293.75,997.6,-24.2,257.5,26.2,5691,,16/02/1981,0
12,138.3,4.7,1.3,8.6,12.5,24.9,37.4,284.48,819.44,0.0,0.0,24.2,5706,,16/02/1981,0
0,162.0,3.1,-1.9,16.6,18.7,24.7,43.4,291.55,951.22,-74.2,318.5,28.7,5677,,17/02/1981,0
12,167.3,5.6,2.4,12.4,15.7,24.1,39.8,284.22,814.93,0.0,0.0,28.1,5708,,17/02/1981,0
0,111.0,8.4,6.5,8.0,14.5,20.7,35.2,286.21,944.11,0.0,0.0,19.4,5639,,18/02/1981,0
12,121.1,7.0,4.6,9.4,13.3,22.7,36.0,281.58,792.37,0.0,0.0,24.0,5717,,18/02/1981,0
0,64.0,7.0,6.1,4.8,10.4,22.9,33.3,283.56,918.32,0.0,0.0,15.3,5634,,19/02/1981,0
12,69.8,9.9,8.1,0.6,2.0,24.1,26.1,279.23,784.01,0.0,0.0,20.3,5739,,19/02/1981,0
0,66.0,8.1,7.1,3.8,4.4,25.3,29.7,283.12,909.01,0.0,0.0,15.5,5673,,20/02/1981,0
12,64.0,8.6,6.0,4.2,7.3,26.3,33.6,282.05,812.03,0.0,0.0,21.3,5739,,20/02/1981,0
0,71.8,7.9,5.7,7.0,9.8,26.1,35.9,285.91,938.46,0.0,0.0,19.9,5675,,21/02/1981,0
12,60.1,3.0,-0.3,7.0,10.7,27.9,38.6,283.95,810.35,-734.6,12.2,20.6,5717,,21/02/1981,0
0,66.0,5.3,3.7,7.6,7.6,27.1,34.7,283.08,874.47,0.0,0.0,16.2,5663,,22/02/1981,0
12,79.5,3.1,0.3,7.0,10.6,28.5,39.1,281.77,781.45,0.0,0.0,19.8,5738,,22/02/1981,0
0,70.5,10.3,8.6,6.8,12.7,23.9,36.6,285.88,963.3,0.0,0.0,21.5,5685,,23/02/1981,0
12,60.1,-1.3,-3.2,13.2,13.0,29.9,42.9,280.75,782.46,-817.7,311.8,17.5,5642,,23/02/1981,0
0,73.7,2.9,1.4,12.0,3.8,27.3,31.1,284.95,920.85,0.0,0.0,14.1,5613,,24/02/1981,0
12,54.3,-2.0,-4.6,10.6,12.4,28.3,40.7,284.37,805.07,-526.9,904.5,17.4,5651,,24/02/1981,0
0,67.9,2.6,-0.3,10.6,14.9,31.7,46.6,287.65,949.36,-481.0,2.0,19.0,5672,,25/02/1981,0
12,243.3,-3.4,-7.3,20.2,20.5,32.9,53.4,286.89,807.79,-570.3,2792.7,24.2,5707,,25/02/1981,0
0,91.3,2.7,-1.8,23.6,14.5,30.1,44.6,290.43,942.95,-218.3,39.5,24.0,5710,,26/02/1981,0
12,52.4,-3.7,-8.7,12.4,10.4,31.1,41.5,289.89,824.36,-409.4,4043.4,24.1,5716,,26/02/1981,0
0,112.6,3.7,-0.3,28.0,16.1,33.9,50.0,288.72,934.68,-321.3,411.4,21.6,5689,,27/02/1981,0
12,69.7,-4.2,-8.0,11.8,15.9,32.1,48.0,287.49,830.7,-404.9,3224.9,17.6,5673,,27/02/1981,0
12,265.3,-8.9,-15.1,32.0,20.7,35.5,56.2,293.06,876.11,-180.5,4596.2,31.8,5693,,28/02/1981,0
0,460.2,-1.9,-7.0,36.6,23.3,34.9,58.2,293.26,987.57,-170.8,1750.7,33.8,5689,,01/03/1981,0
12,509.5,-6.2,-14.3,37.6,27.1,34.9,62.0,296.65,916.4,-122.9,6116.2,39.2,5726,,01/03/1981,0
0,203.1,-0.3,-4.9,29.2,19.9,32.3,52.2,290.04,943.04,-188.5,942.5,25.1,5664,,02/03/1981,0
12,150.3,-0.7,-3.8,30.1,20.3,25.7,46.0,284.79,794.54,-565.2,1060.7,31.2,5694,,02/03/1981,0
0,100.4,5.2,4.2,17.0,17.7,26.7,44.4,280.86,848.65,0.0,0.0,22.1,5644,,03/03/1981,0
12,64.0,1.6,-0.6,10.4,8.8,27.5,36.3,280.75,787.89,-910.2,403.3,23.9,5682,,03/03/1981,0
0,44.6,9.8,9.2,4.6,8.2,24.1,32.3,281.72,899.86,0.0,0.0,21.1,5666,,04/03/1981,0
12,40.7,5.0,2.6,6.0,6.6,25.1,31.7,280.17,766.04,0.0,0.0,22.9,5719,,04/03/1981,0
0,54.1,7.2,4.0,6.2,11.9,23.7,35.6,286.8,926.32,0.0,0.0,21.6,5687,,05/03/1981,0
12,174.2,2.5,-1.7,21.0,20.1,26.3,46.4,287.37,835.25,-455.4,566.2,31.5,5730,,05/03/1981,0
0,146.3,8.5,4.5,15.0,16.9,26.1,43.0,288.01,928.91,0.0,0.0,26.3,5726,,06/03/1981,0
12,136.7,4.4,-0.5,18.4,14.9,23.7,38.6,288.52,843.03,-349.0,1054.7,32.2,5749,,06/03/1981,0
0,119.0,5.4,0.4,18.6,16.1,27.3,43.4,290.1,945.91,-198.2,51.5,25.4,5702,,07/03/1981,0
12,345.4,-3.9,-10.2,27.6,25.7,30.1,55.8,292.77,887.31,-155.8,4196.2,32.1,5704,,07/03/1981,0
0,69.8,-1.7,-5.9,21.0,11.6,33.7,45.3,289.86,918.96,-209.5,2212.4,18.6,5661,,08/03/1981,0
12,339.6,-3.4,-10.5,37.9,23.7,32.1,55.8,294.39,890.09,-186.9,4581.5,42.3,5729,,08/03/1981,0
0,108.2,-1.7,-7.3,30.0,17.7,32.1,49.8,292.48,939.44,-149.7,2933.3,31.6,5682,,09/03/1981,0
12,106.2,1.3,-2.0,20.2,17.7,29.3,47.0,285.34,857.62,-377.2,253.5,26.0,5680,,09/03/1981,0
0,181.4,0.6,-3.9,33.1,20.7,30.3,51.0,289.77,948.84,-147.5,750.5,30.5,5675,,10/03/1981,0
12,199.6,-3.1,-7.6,19.4,20.3,32.7,53.0,288.94,863.17,-302.0,2313.8,26.3,5696,,10/03/1981,0
0,403.0,-2.9,-9.6,34.4,24.7,35.1,59.8,294.9,985.28,-136.5,3009.3,38.6,5691,,11/03/1981,1
12,116.6,-6.7,-12.6,31.9,18.7,32.7,51.4,292.65,904.77,-97.9,4708.0,29.4,5668,,11/03/1981,1
0,224.4,2.1,-2.9,33.6,22.1,30.1,52.2,290.71,959.7,-181.6,543.7,34.7,5694,,12/03/1981,1
12,457.9,-2.3,-10.1,44.3,27.3,31.5,58.8,295.8,950.24,-77.3,3890.2,51.2,5726,,12/03/1981,1
0,224.5,-4.3,-6.3,25.3,23.3,33.3,56.6,286.49,929.43,-131.9,595.4,19.9,5543,,13/03/1981,1
12,258.8,0.0,-3.7,37.8,25.9,26.9,52.8,287.71,882.77,-178.2,1685.5,38.6,5667,,13/03/1981,1
0,113.3,9.3,6.2,24.8,14.5,23.1,37.6,288.09,970.75,0.0,0.0,30.5,5677,,14/03/1981,0
12,75.7,1.7,-1.7,15.2,15.3,26.3,41.6,286.22,848.86,-306.1,71.9,29.6,5674,,14/03/1981,0
12,65.8,-0.1,-4.1,16.7,13.5,22.7,36.2,287.62,843.67,-263.0,829.0,22.6,5676,,15/03/1981,0
0,163.9,1.4,-3.8,22.8,20.3,25.7,46.0,292.38,967.48,-39.8,1685.2,31.4,5649,,16/03/1981,0
12,142.3,1.2,-2.7,31.7,19.3,27.7,47.0,287.05,875.78,-213.2,251.6,32.5,5690,,16/03/1981,0
0,175.0,6.5,2.8,20.8,18.9,24.1,43.0,288.96,960.04,-108.9,3.2,35.5,5678,,17/03/1981,0
12,169.1,0.3,-3.0,19.8,20.9,24.5,45.4,286.38,827.1,-364.5,108.8,33.4,5681,,17/03/1981,0
0,171.4,4.0,-0.7,24.4,21.3,24.1,45.4,291.92,983.02,-37.0,127.4,37.6,5681,,18/03/1981,0
12,125.3,0.8,-1.6,19.4,17.5,24.9,42.4,283.63,785.05,-654.5,0.8,29.1,5683,,18/03/1981,0
0,93.0,4.6,-1.7,16.6,13.3,24.5,37.8,293.83,975.14,-63.7,53.3,35.0,5727,,19/03/1981,0
12,194.7,3.1,0.9,27.4,23.3,26.3,49.6,279.91,747.88,0.0,0.0,38.5,5710,,19/03/1981,0
0,150.2,1.4,-6.1,28.6,18.5,26.7,45.2,296.09,985.21,-29.8,3134.9,36.6,5715,,20/03/1981,0
12,358.2,3.2,-2.6,43.5,26.3,27.7,54.0,291.53,905.26,-256.1,1114.2,56.8,5796,,20/03/1981,0
0,163.5,1.3,-6.5,31.8,20.3,27.1,47.4,296.41,977.46,-20.9,2922.2,41.5,5728,,21/03/1981,0
0,285.1,1.6,-3.6,36.9,23.1,30.5,53.6,291.89,948.32,-173.2,4.9,38.7,5729,,22/03/1981,0
12,238.1,-5.7,-9.2,34.7,23.1,30.7,53.8,287.07,807.66,-463.8,772.1,29.7,5661,,22/03/1981,0
0,415.9,-4.0,-10.2,40.2,26.1,33.7,59.8,294.17,956.25,-93.1,2820.5,37.1,5685,,23/03/1981,0
12,361.7,-4.2,-7.8,37.2,24.7,32.1,56.8,286.95,802.78,-576.4,2085.3,34.9,5701,,23/03/1981,0
0,110.0,-1.5,-8.0,29.2,17.7,30.1,47.8,295.06,980.18,-50.0,2337.0,30.1,5672,,24/03/1981,0
12,327.2,-2.5,-7.3,35.8,24.7,31.3,56.0,290.46,881.24,-226.5,2088.3,38.3,5691,,24/03/1981,0
0,275.1,-1.7,-7.5,34.6,24.1,30.5,54.6,294.05,977.71,-48.2,2368.4,38.5,5651,,25/03/1981,1
12,256.2,1.8,-2.4,38.5,24.9,28.9,53.8,290.52,980.61,-78.9,389.9,33.9,5668,,25/03/1981,1
0,128.2,1.1,-1.9,26.6,19.9,30.9,50.8,289.14,980.76,-109.1,188.8,27.0,5615,,26/03/1981,1
12,414.1,-6.4,-10.5,33.8,27.9,32.7,60.6,289.54,881.76,-164.8,3453.5,29.0,5631,,26/03/1981,1
0,219.5,-5.2,-9.5,22.3,22.3,33.3,55.6,291.73,985.52,-46.9,2790.4,21.1,5581,,27/03/1981,1
12,231.7,-7.2,-11.1,28.8,19.3,35.7,55.0,288.14,816.39,-484.8,3588.4,25.3,5686,,27/03/1981,1
0,349.7,0.4,-3.8,28.6,27.1,28.5,55.6,290.69,975.54,-65.8,1311.0,28.7,5642,,28/03/1981,1
12,323.6,-1.4,-8.2,34.4,24.3,30.1,54.4,294.2,917.31,-119.0,3051.4,40.0,5735,,28/03/1981,1
0,348.3,2.3,-2.2,37.0,25.7,30.1,55.8,290.48,957.02,-198.1,527.5,38.4,5686,,29/03/1981,1
12,413.9,-2.0,-8.7,28.2,26.9,30.5,57.4,293.89,907.58,-125.2,3511.1,39.7,5731,,29/03/1981,1
0,320.0,3.3,-3.0,38.3,23.1,30.9,54.0,293.91,985.37,-192.7,1096.1,42.0,5746,,30/03/1981,1
12,413.0,-3.0,-8.5,38.2,27.1,31.5,58.6,292.46,930.47,-92.0,3048.4,39.7,5679,,30/03/1981,1
0,594.1,-9.6,-16.3,42.2,31.9,37.9,69.8,295.29,985.28,-27.6,4446.0,36.2,5675,,31/03/1981,0
12,422.2,-4.2,-9.7,39.7,27.7,31.1,58.8,292.03,887.68,-127.5,2137.8,42.7,5688,,31/03/1981,0
